iter	RMSE
133	2.826884149
134	2.822599196
135	2.819580725
136	2.813218362
137	2.806069484
138	2.80191163
139	2.795852568
140	2.790798828
141	2.782972135
142	2.779721216
143	2.774963069
144	2.769390245
145	2.763293257
146	2.757497939
147	2.75099277
148	2.742676033
149	2.732957095
150	2.727936718
151	2.720091588
152	2.714172967
153	2.707897679
154	2.700683235
155	2.690611076
156	2.68523791
157	2.678392944
158	2.674994448
159	2.667678143
160	2.663069502
161	2.659987668
162	2.655026791
163	2.645127595
164	2.642327831
165	2.63718583
166	2.629484119
167	2.62401066
168	2.617076471
169	2.614313587
170	2.607943564
171	2.600280956
172	2.598184775
173	2.593765057
174	2.588438236
175	2.580935087
176	2.575232597
177	2.569701618
178	2.559926483
179	2.554525296
180	2.548935792
181	2.542400978
182	2.536027363
183	2.528977982
184	2.520774498
185	2.515641193
186	2.511843008
187	2.505386587
188	2.497558846
189	2.490081204
190	2.484663707
191	2.478611844
192	2.473628698
193	2.469855501
194	2.461140149
195	2.457083267
196	2.451834051
197	2.444359766
198	2.438683525
199	2.430935915
200	2.427651051
201	2.422190484
202	2.418880929
203	2.415098874
204	2.412065394
205	2.406184776
206	2.400725793
207	2.397505531
208	2.390504618
209	2.384630617
210	2.376926403
211	2.372258338
212	2.367037109
213	2.362262765
214	2.354426425
215	2.348722778
216	2.344061241
217	2.337920916
218	2.33265562
219	2.326967326
220	2.322420583
221	2.317421319
222	2.31162795
223	2.304921737
224	2.299505486
225	2.294148561
226	2.288484802
227	2.28388789
228	2.277637109
229	2.272825188
230	2.265458824
231	2.259835622
232	2.255385952
233	2.250246071
234	2.246959072
235	2.243230854
236	2.238294105
237	2.235457843
238	2.232828792
239	2.228603837
240	2.220344907
241	2.215080536
242	2.212115577
243	2.207393762
244	2.203543248
245	2.200300121
246	2.195038791
247	2.18917083
248	2.184648351
249	2.180746164
250	2.175488373
251	2.173100737
252	2.169088915
253	2.164442826
254	2.161556529
255	2.156685261
256	2.151548659
257	2.146389963
258	2.140989824
259	2.135751742
260	2.132759905
261	2.126332384
262	2.122944146
263	2.117595188
264	2.11234385
265	2.10902088
266	2.105623299
267	2.101205989
268	2.095882641
269	2.091420621
270	2.087010927
271	2.084161512
272	2.080310949
273	2.074867803
274	2.071480117
275	2.068703917
276	2.063029373
277	2.059879706
278	2.05670316
279	2.054065121
280	2.049361087
281	2.044544853
282	2.037843999
283	2.032924282
284	2.027609426
285	2.024114257
286	2.020289576
287	2.015685375
288	2.010668418
289	2.004712047
290	2.001896083
291	1.998814997
292	1.994871718
293	1.990964164
294	1.987876239
295	1.984744576
296	1.98046428
297	1.975825652
298	1.971073366
299	1.966348816
300	1.961943544
301	1.959287552
302	1.956279382
303	1.952937957
304	1.948750674
305	1.946906546
306	1.941913653
307	1.937210641
308	1.935513134
309	1.932459422
310	1.930527126
311	1.927105406
312	1.924013937
313	1.92048681
314	1.91758009
315	1.915012075
316	1.911862612
317	1.90870536
318	1.904463474
319	1.900619159
320	1.896568505
321	1.892118359
322	1.888666185
323	1.886373577
324	1.883080596
325	1.879851712
326	1.875218477
327	1.872212927
328	1.869853273
329	1.865515278
330	1.863053248
331	1.857612076
332	1.854281327
333	1.851476436
334	1.849088464
335	1.84515289
336	1.840440163
337	1.836344565
338	1.83227087
339	1.826326945
340	1.822820639
341	1.820701253
342	1.817519483
343	1.811870883
344	1.807397039
345	1.80386797
346	1.799941615
347	1.796361007
348	1.79208916
349	1.788618157
350	1.785670713
351	1.782607138
352	1.778510015
353	1.776464491
354	1.775069396
355	1.771628022
356	1.769268037
357	1.765057639
358	1.76215718
359	1.759315986
360	1.756518384
361	1.752370344
362	1.748388395
363	1.746533742
364	1.743816487
365	1.741262329
366	1.737456903
367	1.733443862
368	1.73070576
369	1.727705085
370	1.724440072
371	1.722968987
372	1.720129055
373	1.716253479
374	1.712202373
375	1.709448279
376	1.706143865
377	1.703890142
378	1.698882077
379	1.696474225
380	1.691777417
381	1.689353602
382	1.686566789
383	1.683436591
384	1.681496049
385	1.679530749
386	1.677273821
387	1.674549892
388	1.672608199
389	1.669034869
390	1.666993287
391	1.66419721
392	1.661366455
393	1.659197506
394	1.65568556
395	1.651659558
396	1.64927427
397	1.645460782
398	1.64256673
399	1.638993871
400	1.636524812
401	1.634487897
402	1.631694046
403	1.629951352
404	1.627636774
405	1.625483507
406	1.622913775
407	1.620341355
408	1.618072636
409	1.615655999
410	1.61237472
411	1.610119792
412	1.606713406
413	1.604739727
414	1.601759868
415	1.596821881
416	1.595302916
417	1.593107384
418	1.590124161
419	1.58747212
420	1.585022848
421	1.582510222
422	1.579163419
423	1.576263409
424	1.572376607
425	1.569394822
426	1.566590613
427	1.563614963
428	1.560362316
429	1.55696596
430	1.552647736
431	1.549193694
432	1.546231691
433	1.544768195
434	1.543538762
435	1.541197477
436	1.539046095
437	1.536312011
438	1.532825408
439	1.52951283
440	1.526002714
441	1.523730948
442	1.521293473
443	1.519279542
444	1.518001446
445	1.515260768
446	1.512723905
447	1.510359788
448	1.508933648
449	1.506318886
450	1.504193181
451	1.501693485
452	1.500295144
453	1.49942892
454	1.497721636
455	1.495739464
456	1.491890706
457	1.490660072
458	1.487786304
459	1.485530714
460	1.483544947
461	1.481371611
462	1.479344066
463	1.47618854
464	1.474092479
465	1.47259689
466	1.471290985
467	1.468865059
468	1.466955222
469	1.464464132
470	1.461173885
471	1.459077923
472	1.456452728
473	1.453094972
474	1.451544862
475	1.450234583
476	1.447565265
477	1.443848627
478	1.44205392
479	1.440019351
480	1.438477668
481	1.435691179
482	1.433038972
483	1.430721609
484	1.427959757
485	1.425459761
486	1.422761075
487	1.420567483
488	1.417752012
489	1.414554289
490	1.413459824
491	1.411691257
492	1.409300127
493	1.406907764
494	1.405687611
495	1.403097957
496	1.400636272
497	1.397866634
498	1.395814219
499	1.393763607
500	1.391617423
501	1.389533415
502	1.387622489
503	1.38650438
504	1.383039852
505	1.379910637
506	1.376418461
507	1.374417846
508	1.37221433
509	1.370211769
510	1.368785018
511	1.365983885
512	1.362117423
513	1.359551383
514	1.357484928
515	1.354915048
516	1.352486665
517	1.349773626
518	1.346438458
519	1.34487858
520	1.343261658
521	1.340374143
522	1.33729095
523	1.335212361
524	1.333822559
525	1.332984801
526	1.329266271
527	1.327035144
528	1.325706051
529	1.323232416
530	1.322209728
531	1.319323153
532	1.317161166
533	1.315678728
534	1.314018628
535	1.312220456
536	1.309901595
537	1.307269356
538	1.304785202
539	1.302084155
540	1.299929711
541	1.298830652
542	1.296305071
543	1.295239168
544	1.293503285
545	1.291333023
546	1.288357504
547	1.286419688
548	1.284134309
549	1.281547032
550	1.278702359
551	1.276811543
552	1.275285375
553	1.274829566
554	1.27397732
555	1.273092389
556	1.271895903
557	1.269619642
558	1.268151698
559	1.26712151
560	1.264461951
561	1.261918112
562	1.259631021
563	1.257348944
564	1.255602854
565	1.254001418
566	1.251843949
567	1.250419489
568	1.248405509
569	1.245951891
570	1.243591371
571	1.242117225
572	1.23974629
573	1.237097801
574	1.23590281
575	1.234363772
576	1.232882896
577	1.230415537
578	1.228217562
579	1.225875937
580	1.224331048
581	1.22193591
582	1.220730257
583	1.21840321
584	1.215865741
585	1.214674803
586	1.213725444
587	1.211707758
588	1.209796134
589	1.207294839
590	1.205871226
591	1.203277384
592	1.202127304
593	1.200355802
594	1.199052267
595	1.196596422
596	1.194770914
597	1.192145812
598	1.189871307
599	1.188431032
600	1.185650408
601	1.18366886
602	1.182065433
603	1.180799882
604	1.178768917
605	1.17762074
606	1.176062162
607	1.174248094
608	1.173277952
609	1.171458147
610	1.169378279
611	1.167213618
612	1.166170836
613	1.16393728
614	1.162315457
615	1.159550828
616	1.157604074
617	1.156247174
618	1.15446652
619	1.152452461
620	1.150312093
621	1.147476657
622	1.145474871
623	1.144292333
624	1.142780855
625	1.140612508
626	1.137804208
627	1.136146546
628	1.135361778
629	1.134405311
630	1.131614941
631	1.128862682
632	1.126908887
633	1.124702016
634	1.123350053
635	1.12191266
636	1.120397337
637	1.11812616
638	1.116854151
639	1.115275159
640	1.113333571
641	1.112133757
642	1.110474186
643	1.108524917
644	1.106626441
645	1.104662339
646	1.102893716
647	1.100597135
648	1.098982202
649	1.096710704
650	1.094643049
651	1.092756279
652	1.090487904
653	1.088751272
654	1.088353389
655	1.086195911
656	1.084250934
657	1.082135204
658	1.080606994
659	1.08021945
660	1.078574887
661	1.077678292
662	1.075646756
663	1.074368748
664	1.073100881
665	1.070678206
666	1.069043358
667	1.068170097
668	1.066726784
669	1.065141075
670	1.062914503
671	1.060843344
672	1.058898961
673	1.057808532
674	1.056375792
675	1.054428127
676	1.053147915
677	1.051992606
678	1.051176415
679	1.05050143
680	1.047952697
681	1.04506924
682	1.043761114
683	1.041535754
684	1.039484301
685	1.037403833
686	1.035358653
687	1.034032517
688	1.032378406
689	1.031522819
690	1.029757174
691	1.028496706
692	1.026548395
693	1.025337862
694	1.023773411
695	1.022177876
696	1.020361084
697	1.0187432
698	1.017016227
699	1.014931421
700	1.013435083
701	1.011824492
702	1.01064924
703	1.00833555
704	1.006896141
705	1.004760856
706	1.002976766
707	1.001503421
708	0.9999030475
709	0.9975753905
710	0.9956347509
711	0.9939079803
712	0.9921329053
713	0.9908692775
714	0.9896596079
715	0.9891196876
716	0.9878274932
717	0.9868914835
718	0.9844729114
719	0.9829191898
720	0.9813334639
721	0.9811081821
722	0.9799229263
723	0.9784038467
724	0.9778943407
725	0.9764962381
726	0.9745558726
727	0.974007198
728	0.9736969009
729	0.9724229262
730	0.9710523409
731	0.9697048455
732	0.9681401537
733	0.9673704778
734	0.9657716591
735	0.9652833679
736	0.9644792045
737	0.9625334607
738	0.9609006213
739	0.9598272644
740	0.9585659213
741	0.9573723555
742	0.9563737615
743	0.9554511135
744	0.9540743302
745	0.9529164905
746	0.9508096666
747	0.9496058838
748	0.9491515623
749	0.9475137264
750	0.9462630433
751	0.9448048044
752	0.9434587867
753	0.9421289952
754	0.9408401086
755	0.9398564014
756	0.9381175037
757	0.936708952
758	0.9349980144
759	0.9342396818
760	0.9327862658
761	0.9316157739
762	0.9298420789
763	0.9284521642
764	0.9271482004
765	0.9261296412
766	0.9246635871
767	0.9231546156
768	0.9213872567
769	0.9195555208
770	0.9182811599
771	0.9166794625
772	0.9155448735
773	0.9142760854
774	0.912507786
775	0.9106750191
776	0.9090869805
777	0.9078165214
778	0.9062125572
779	0.9050363414
780	0.9032151489
781	0.9013291531
782	0.8999895882
783	0.8991433098
784	0.8977884634
785	0.8958651526
786	0.8945382584
787	0.8931774928
788	0.8918680233
789	0.8905652351
790	0.8893517842
791	0.8880259226
792	0.8867439224
793	0.8862340098
794	0.8851281629
795	0.8834511277
796	0.8821254808
797	0.881007928
798	0.8795446983
799	0.8785520384
800	0.8771921533
801	0.8757284581
802	0.8736728521
803	0.8720420389
804	0.8703891118
805	0.8692900525
806	0.8671864391
807	0.8655658895
808	0.8649040966
809	0.8635549782
810	0.8623283742
811	0.8613911774
812	0.8594832087
813	0.8582622497
814	0.8574829913
815	0.85597809
816	0.8539493853
817	0.8529473161
818	0.851347081
819	0.8499364331
820	0.8485743673
821	0.8468217511
822	0.8459889142
823	0.8449861539
824	0.843452885
825	0.8411517611
826	0.8398989773
827	0.8381303653
828	0.8374268499
829	0.8366219118
830	0.8355144083
831	0.8344523781
832	0.8336721659
833	0.8326514656
834	0.8316179035
835	0.8302067687
836	0.8293767221
837	0.8284493217
838	0.8275649054
839	0.8261671856
840	0.8251581866
841	0.8240220724
842	0.8222442356
843	0.8214564884
844	0.8204207633
845	0.8192256781
846	0.8181894034
847	0.8166928375
848	0.8160531369
849	0.8143709603
850	0.8133181823
851	0.8117522786
852	0.8108192484
853	0.8097113622
854	0.8085728372
855	0.8076122574
856	0.8067661614
857	0.8055465965
858	0.8038845873
859	0.8024239338
860	0.8018152559
861	0.8004856551
862	0.7988992528
863	0.7981860221
864	0.7968736248
865	0.7951790089
866	0.7940682442
867	0.793298482
868	0.792659814
869	0.7923767169
870	0.7912076967
871	0.7902211672
872	0.7888047506
873	0.787190918
874	0.7861041898
875	0.7855783901
876	0.7839890851
877	0.7830208813
878	0.7821182348
879	0.7809618367
880	0.7793074791
881	0.778784862
882	0.777480246
883	0.7766170976
884	0.7753627367
885	0.7739591501
886	0.7730466457
887	0.7720554629
888	0.7712134987
889	0.7700444127
890	0.7686319896
891	0.7671005895
892	0.7659838633
893	0.7653380041
894	0.7640447678
895	0.7635599149
896	0.7620065236
897	0.7614061774
898	0.7607191107
899	0.7589560897
900	0.7579001724
901	0.7574769585
902	0.7566354524
903	0.7557988898
904	0.7551403654
905	0.7542436678
906	0.7529651024
907	0.7518988964
908	0.7509832898
909	0.7498946145
910	0.7484539252
911	0.7473337403
912	0.7462482503
913	0.745169195
914	0.7445675134
915	0.7436169842
916	0.7429814384
917	0.7410021639
918	0.7402136707
919	0.7386663845
920	0.7376268555
921	0.7363289801
922	0.7354195254
923	0.7343100919
924	0.7338370935
925	0.7330157375
926	0.7319015311
927	0.7305772208
928	0.7295330523
929	0.728608027
930	0.7274915521
931	0.7260913593
932	0.7252812319
933	0.7242269381
934	0.7232409367
935	0.7227621581
936	0.7220298193
937	0.7207657679
938	0.7197802985
939	0.7186894613
940	0.7173663477
941	0.7161973829
942	0.7152700201
943	0.7140147213
944	0.7130399677
945	0.7122513417
946	0.7106262807
947	0.7102841608
948	0.7094911589
949	0.7084998566
950	0.7078416556
951	0.707015248
952	0.7058109127
953	0.7046904103
954	0.7037464659
